id,car_id,engine_id,power_hp,torque_nm,Accel_0-100,top_speed
1,1,1,156,250,"8,6   ",223
2,2,2,156,250,"8,6 ",223
3,3,3,156,250,"8,6 ",223
4,4,4,184,300,"7,4 ",235
5,5,5,184,300,"7,7 ",230
6,6,6,184,300,"7,4 ",235
7,7,7,184,300,"7,7 ",230
8,8,8,184,300,"7,4 ",235
9,9,9,184,300,"7,7 ",230
10,10,10,245,400,"5,7 ",250
11,11,11,245,400,"5,7 ",250
12,12,12,245,400,"5,7 ",250
13,13,13,292,420,"5,9 ",230
14,14,14,292,420,"5,8 ",230
15,15,15,292,420,"5,9 ",230
16,16,16,292,420,"5,8 ",230
17,17,17,292,420,"5,9 ",230
18,18,18,292,420,"5,8 ",230
19,19,19,150,320,"8,3 ",218
20,20,20,150,320,"8,3 ",218
21,21,21,150,320,"8,3 ",218
22,22,22,190,400,"6,9 ",235
23,23,23,190,400,"7,2 ",228
24,24,24,190,400,"6,9 ",235
25,25,25,190,400,"7,2 ",228
26,26,26,190,400,"6,9 ",235
27,27,27,190,400,"7,2 ",228
28,28,28,286,650,"5,0 ",250
29,29,29,286,650,"5,0 ",250
30,30,30,286,650,"5,0 ",250
31,31,31,156,250,"8,6 ",223
32,32,32,156,250,"8,6 ",223
33,33,33,156,250,"8,6 ",223
34,34,34,184,300,"7,4 ",235
35,35,35,184,300,"7,7 ",230
36,36,36,184,300,"7,4 ",235
37,37,37,184,300,"7,7 ",230
38,38,38,184,300,"7,4 ",235
39,39,39,184,300,"7,7 ",230
40,40,40,245,400,"5,7 ",250
41,41,41,245,400,"5,7 ",250
42,42,42,245,400,"5,7 ",250
43,43,43,286,650,"5,0 ",250
44,44,44,286,650,"5,0 ",250
45,45,45,286,650,"5,0 ",250
46,46,46,374,500,"4,4 ",250
47,47,47,340,700,"4,6 ",250
48,48,48,480,500,"4,2 ",250
49,49,49,510,650,"3,9 ",250
50,50,50,530,650,"3,5 ",250
51,51,51,480,500,"4,2 ",250
52,52,52,510,650,"3,9 ",250
53,53,53,530,650,"3,5 ",250
54,54,54,156,250,"8,8 ",218
55,55,55,156,250,"8,8 ",218
56,56,56,156,250,"8,8 ",218
57,57,57,184,300,"7,6 ",230
58,58,58,184,300,"7,6 ",230
59,59,59,184,300,"7,6 ",230
60,60,60,245,400,"6,0 ",250
61,61,61,245,400,"6,0 ",250
62,62,62,245,400,"6,0 ",250
63,63,63,292,420,"6,0 ",230
64,64,64,292,420,"5,9 ",225
65,65,65,292,420,"6,0 ",230
66,66,66,292,420,"5,9 ",225
67,67,67,292,420,"6,0 ",230
68,68,68,292,420,"5,9 ",225
69,69,69,150,320,"8,8 ",213
70,70,70,150,320,"8,8 ",213
71,71,71,150,320,"8,8 ",213
72,72,72,190,400,"7,2 ",229
73,73,73,190,400,"7,5 ",225
74,74,74,190,400,"7,2 ",229
75,75,75,190,400,"7,5 ",225
76,76,76,190,400,"7,2 ",229
77,77,77,190,400,"7,5 ",225
78,78,78,286,650,"5,2 ",250
79,79,79,286,650,"5,2 ",250
80,80,80,286,650,"5,2 ",250
81,81,81,156,250,"8,8 ",218
82,82,82,156,250,"8,8 ",218
83,83,83,156,250,"8,8 ",218
84,84,84,184,300,"7,6 ",230
85,85,85,184,300,"7,6 ",230
86,86,86,184,300,"7,6 ",230
