id,model_id,year,trim,body_style,drive_type,weigth_kg,image_url
1,1,2025,BMW 318i Steptronic,Kupeja,Aizmugures piedzina,1575,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
2,1,2025,BMW 318i M Sportpaket Steptronic,Kupeja,Aizmugures piedzina,1575,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
3,1,2025,BMW 318i M Sportpaket Pro Steptronic,Kupeja,Aizmugures piedzina,1575,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
4,1,2025,BMW 320i Steptronic,Kupeja,Aizmugures piedzina,1590,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
5,1,2025,BMW 320i xDrive Steptronic,Kupeja,Pilnpiedzina,1655,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
6,1,2025,BMW 320i M Sportpaket Steptronic,Kupeja,Aizmugures piedzina,1590,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
7,1,2025,BMW 320i M Sportpaket xDrive Steptronic,Kupeja,Pilnpiedzina,1655,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
8,1,2025,BMW 320i M Sportpaket Pro Steptronic,Kupeja,Aizmugures piedzina,1590,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
9,1,2025,BMW 320i M Sportpaket Pro xDrive Steptronic,Kupeja,Pilnpiedzina,1655,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
10,1,2025,BMW 330i xDrive Steptronic,Kupeja,Pilnpiedzina,1670,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
11,1,2025,BMW 330i M Sportpaket xDrive Steptronic,Kupeja,Pilnpiedzina,1670,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
12,1,2025,BMW 330i M Sportpaket Pro xDrive Steptronic,Kupeja,Pilnpiedzina,1670,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
13,1,2024,BMW 330e Steptronic,Kupeja,Aizmugures piedzina,1910,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
14,1,2024,BMW 330e xDrive Steptronic,Kupeja,Pilnpiedzina,1960,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
15,1,2024,BMW 330e M Sportpaket Steptronic,Kupeja,Aizmugures piedzina,1910,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
16,1,2024,BMW 330e M Sportpaket xDrive Steptronic,Kupeja,Pilnpiedzina,1960,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
17,1,2024,BMW 330e M Sportpaket Pro Steptronic,Kupeja,Aizmugures piedzina,1910,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
18,1,2024,BMW 330e M Sportpaket Pro xDrive Steptronic,Kupeja,Pilnpiedzina,1960,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
19,1,2024,BMW 318d Steptronic,Kupeja,Aizmugures piedzina,1660,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
20,1,2024,BMW 318d M Sportpaket Steptronic,Kupeja,Aizmugures piedzina,1660,"https://assets.adac.de/image/upload/ar_16:9,c_fill,f_auto,g_auto,q_auto:eco,w_410/v1/Autodatenbank/Fahrzeugbilder/im07045-1-bmw-3er-reihe.jpeg"
