id,code,subvariant,fuel_type,cylinder,enginecreatedat,engine_discontinued
1,318i,Steptronic,Benzins,4,25-Jul,0
2,318i,M Sportpaket Steptronic,Benzins,4,25-Jul,0
3,318i,M Sportpaket Pro Steptronic,Benzins,4,25-Jul,0
4,320i,Steptronic,Benzins,4,25-Jul,0
5,320i,xDrive Steptronic,Benzins,4,25-Jul,0
6,320i,M Sportpaket Steptronic,Benzins,4,25-Jul,0
7,320i,M Sportpaket xDrive Steptronic,Benzins,4,25-Jul,0
8,320i,M Sportpaket Pro Steptronic,Benzins,4,25-Jul,0
9,320i,M Sportpaket Pro xDrive Steptronic,Benzins,4,25-Jul,0
10,330i,xDrive Steptronic,Benzins,4,25-Jul,0
11,330i,M Sportpaket xDrive Steptronic,Benzins,4,25-Jul,0
12,330i,M Sportpaket Pro xDrive Steptronic,Benzins,4,25-Jul,0
13,330e,Steptronic,Benzins,4,24-Jul,0
14,330e,xDrive Steptronic,Benzins,4,24-Jul,0
15,330e,M Sportpaket Steptronic,Benzins,4,24-Jul,0
16,330e,M Sportpaket xDrive Steptronic,Benzins,4,24-Jul,0
17,330e,M Sportpaket Pro Steptronic,Benzins,4,24-Jul,0
18,330e,M Sportpaket Pro xDrive Steptronic,Dizelis,4,24-Jul,0
19,318d,Steptronic,Dizelis,4,24-Jul,0
20,318d,M Sportpaket Steptronic,Dizelis,4,24-Jul,0
21,318d,M Sportpaket Pro Steptronic,Dizelis,4,24-Jul,0
22,320d,Steptronic,Dizelis,4,24-Jul,0
23,320d,xDrive Steptronic,Dizelis,4,24-Jul,0
24,320d,M Sportpaket Steptronic,Dizelis,4,24-Jul,0
25,320d,M Sportpaket xDrive Steptronic,Dizelis,4,24-Jul,0
26,320d,M Sportpaket Pro Steptronic,Dizelis,4,24-Jul,0
27,320d,M Sportpaket Pro xDrive Steptronic,Dizelis,4,24-Jul,0
28,330d,xDrive Steptronic,Dizelis,6,25-Jul,0
29,330d,M Sportpaket xDrive Steptronic,Dizelis,6,25-Jul,0
30,330d,M Sportpaket Pro xDrive Steptronic,Benzins,6,25-Jul,0
31,318i,Steptronic,Benzins,4,24-Jul,25-Jun
32,318i,M Sportpaket Steptronic,Benzins,4,24-Jul,25-Jun
33,318i,M Sportpaket Pro Steptronic,Benzins,4,24-Jul,25-Jun
34,320i,Steptronic,Benzins,4,24-Jul,25-Jun
35,320i,xDrive Steptronic,Benzins,4,24-Jul,25-Jun
36,320i,M Sportpaket Steptronic,Benzins,4,24-Jul,25-Jun
37,320i,M Sportpaket xDrive Steptronic,Benzins,4,24-Jul,25-Jun
38,320i,M Sportpaket Pro Steptronic,Benzins,4,24-Jul,25-Jun
39,320i,M Sportpaket Pro xDrive Steptronic,Benzins,4,24-Jul,25-Jun
40,330i,xDrive Steptronic,Benzins,4,24-Jul,25-Jun
41,330i,M Sportpaket xDrive Steptronic,Benzins,4,24-Jul,25-Jun
42,330i,M Sportpaket Pro xDrive Steptronic,Dizelis,4,24-Jul,25-Jun
43,330d,xDrive Steptronic,Dizelis,6,24-Jul,25-Jun
44,330d,M Sportpaket xDrive Steptronic,Dizelis,6,24-Jul,25-Jun
45,330d,M Sportpaket Pro xDrive Steptronic,Benzins,6,24-Jul,25-Jun
46,M340i,xDrive Steptronic Sport,Dizelis,6,24-Jul,0
47,M340d,xDrive Steptronic Sport,Benzins,6,24-Jul,0
48,M3,Nav,Benzins,6,25-Jul,0
49,M3 Competition,Steptronic,Benzins,6,25-Jul,0
50,M3 Competition,M xDrive Steptronic,Benzins,6,25-Jul,0
51,M3,Nav,Benzins,6,24-Jul,25-Jun
52,M3 Competition,Steptronic,Benzins,6,24-Jul,25-Jun
53,M3 Competition,M xDrive Steptronic,Benzins,6,24-Jul,25-Jun
54,318i Touring,Steptronic,Benzins,4,25-Jun,0
55,318i Touring,M Sportpaket Steptronic,Benzins,4,25-Jun,0
56,318i Touring,M Sportpaket Pro Steptronic,Benzins,4,25-Jun,0
57,320i Touring,Steptronic,Benzins,4,25-Jun,0
58,320i Touring,M Sportpaket Steptronic,Benzins,4,25-Jun,0
59,320i Touring,M Sportpaket Pro Steptronic,Benzins,4,25-Jun,0
60,330i Touring,xDrive Steptronic,Benzins,4,25-Jun,0
61,330i Touring,M Sportpaket xDrive Steptronic,Benzins,4,25-Jun,0
62,330i Touring,M Sportpaket Pro xDrive Steptronic,Benzins,4,25-Jun,0
63,330e Touring,Steptronic,Benzins,4,24-Jul,0
64,330e Touring,xDrive Steptronic,Benzins,4,24-Jul,0
65,330e Touring,M Sportpaket Steptronic,Benzins,4,24-Jul,0
66,330e Touring,M Sportpaket xDrive Steptronic,Benzins,4,24-Jul,0
67,330e Touring,M Sportpaket Pro Steptronic,Benzins,4,24-Jul,0
68,330e Touring,M Sportpaket Pro xDrive Steptronic,Dizelis,4,24-Jul,0
69,318d Touring,Steptronic,Dizelis,4,24-Jul,0
70,318d Touring,M Sportpaket Steptronic,Dizelis,4,24-Jul,0
71,318d Touring,M Sportpaket Pro Steptronic,Dizelis,4,24-Jul,0
72,320d Touring,Steptronic,Dizelis,4,24-Jul,0
73,320d Touring,xDrive Steptronic,Dizelis,4,24-Jul,0
74,320d Touring,M Sportpaket Steptronic,Dizelis,4,24-Jul,0
75,320d Touring,M Sportpaket xDrive Steptronic,Dizelis,4,24-Jul,0
76,320d Touring,M Sportpaket Pro Steptronic,Dizelis,4,24-Jul,0
77,320d Touring,M Sportpaket Pro xDrive Steptronic,Dizelis,4,24-Jul,0
78,330d Touring,xDrive Steptronic,Dizelis,6,25-Jun,0
79,330d Touring,M Sportpaket xDrive Steptronic,Dizelis,6,25-Jun,0
