id,power_mod_id,car_id,engine_id,hp_gain,torque_nm_gain,notes
1,1,1,1,15,25,"Stage 1 ECU for 156hp car = +15 hp"
2,3,1,1,6,10,"Catback exhaust for 156hp car = +6 hp"
3,5,1,1,4,6,"Cold air intake for 156hp car = +4 hp"
4,7,1,1,0,0,"Intercooler upgrade for 156hp car = +0 hp"
5,12,1,1,0,0,"LSD differential for 156hp car = +0 hp"
6,1,2,2,15,25,"Stage 1 ECU for 156hp car = +15 hp"
7,3,2,2,6,10,"Catback exhaust for 156hp car = +6 hp"
8,5,2,2,4,6,"Cold air intake for 156hp car = +4 hp"
9,7,2,2,0,0,"Intercooler upgrade for 156hp car = +0 hp"
10,12,2,2,0,0,"LSD differential for 156hp car = +0 hp"
11,1,3,3,15,25,"Stage 1 ECU for 156hp car = +15 hp"
12,3,3,3,6,10,"Catback exhaust for 156hp car = +6 hp"
13,5,3,3,4,6,"Cold air intake for 156hp car = +4 hp"
14,7,3,3,0,0,"Intercooler upgrade for 156hp car = +0 hp"
15,12,3,3,0,0,"LSD differential for 156hp car = +0 hp"
16,1,4,4,20,35,"Stage 1 ECU for 184hp car = +20 hp"
17,3,4,4,8,12,"Catback exhaust for 184hp car = +8 hp"
18,5,4,4,5,8,"Cold air intake for 184hp car = +5 hp"
19,7,4,4,8,12,"Intercooler upgrade for 184hp car = +8 hp"
20,12,4,4,0,0,"LSD differential for 184hp car = +0 hp"
21,1,5,5,20,35,"Stage 1 ECU for 184hp car = +20 hp"
22,3,5,5,8,12,"Catback exhaust for 184hp car = +8 hp"
23,5,5,5,5,8,"Cold air intake for 184hp car = +5 hp"
24,7,5,5,8,12,"Intercooler upgrade for 184hp car = +8 hp"
25,12,5,5,0,0,"LSD differential for 184hp car = +0 hp"
26,1,6,6,20,35,"Stage 1 ECU for 184hp car = +20 hp"
27,3,6,6,8,12,"Catback exhaust for 184hp car = +8 hp"
28,5,6,6,5,8,"Cold air intake for 184hp car = +5 hp"
29,7,6,6,8,12,"Intercooler upgrade for 184hp car = +8 hp"
30,12,6,6,0,0,"LSD differential for 184hp car = +0 hp"
31,1,7,7,20,35,"Stage 1 ECU for 184hp car = +20 hp"
32,3,7,7,8,12,"Catback exhaust for 184hp car = +8 hp"
33,5,7,7,5,8,"Cold air intake for 184hp car = +5 hp"
34,7,7,7,8,12,"Intercooler upgrade for 184hp car = +8 hp"
35,12,7,7,0,0,"LSD differential for 184hp car = +0 hp"
36,1,8,8,20,35,"Stage 1 ECU for 184hp car = +20 hp"
37,3,8,8,8,12,"Catback exhaust for 184hp car = +8 hp"
38,5,8,8,5,8,"Cold air intake for 184hp car = +5 hp"
39,7,8,8,8,12,"Intercooler upgrade for 184hp car = +8 hp"
40,12,8,8,0,0,"LSD differential for 184hp car = +0 hp"
41,1,9,9,20,35,"Stage 1 ECU for 184hp car = +20 hp"
42,3,9,9,8,12,"Catback exhaust for 184hp car = +8 hp"
43,5,9,9,5,8,"Cold air intake for 184hp car = +5 hp"
44,7,9,9,8,12,"Intercooler upgrade for 184hp car = +8 hp"
45,12,9,9,0,0,"LSD differential for 184hp car = +0 hp"
46,1,10,10,25,40,"Stage 1 ECU for 245hp car = +25 hp"
47,3,10,10,10,15,"Catback exhaust for 245hp car = +10 hp"
48,5,10,10,6,10,"Cold air intake for 245hp car = +6 hp"
49,7,10,10,10,15,"Intercooler upgrade for 245hp car = +10 hp"
50,12,10,10,0,0,"LSD differential for 245hp car = +0 hp"
51,1,11,11,25,40,"Stage 1 ECU for 245hp car = +25 hp"
52,3,11,11,10,15,"Catback exhaust for 245hp car = +10 hp"
53,5,11,11,6,10,"Cold air intake for 245hp car = +6 hp"
54,7,11,11,10,15,"Intercooler upgrade for 245hp car = +10 hp"
55,12,11,11,0,0,"LSD differential for 245hp car = +0 hp"
56,1,12,12,25,40,"Stage 1 ECU for 245hp car = +25 hp"
57,3,12,12,10,15,"Catback exhaust for 245hp car = +10 hp"
58,5,12,12,6,10,"Cold air intake for 245hp car = +6 hp"
59,7,12,12,10,15,"Intercooler upgrade for 245hp car = +10 hp"
60,12,12,12,0,0,"LSD differential for 245hp car = +0 hp"
61,1,13,13,30,50,"Stage 1 ECU for 292hp car = +30 hp"
62,3,13,13,12,18,"Catback exhaust for 292hp car = +12 hp"
63,5,13,13,7,12,"Cold air intake for 292hp car = +7 hp"
64,7,13,13,12,18,"Intercooler upgrade for 292hp car = +12 hp"
65,12,13,13,0,0,"LSD differential for 292hp car = +0 hp"
66,1,14,14,30,50,"Stage 1 ECU for 292hp car = +30 hp"
67,3,14,14,12,18,"Catback exhaust for 292hp car = +12 hp"
68,5,14,14,7,12,"Cold air intake for 292hp car = +7 hp"
69,7,14,14,12,18,"Intercooler upgrade for 292hp car = +12 hp"
70,12,14,14,0,0,"LSD differential for 292hp car = +0 hp"
71,1,15,15,30,50,"Stage 1 ECU for 292hp car = +30 hp"
72,3,15,15,12,18,"Catback exhaust for 292hp car = +12 hp"
73,5,15,15,7,12,"Cold air intake for 292hp car = +7 hp"
74,7,15,15,12,18,"Intercooler upgrade for 292hp car = +12 hp"
75,12,15,15,0,0,"LSD differential for 292hp car = +0 hp"
76,1,16,16,30,50,"Stage 1 ECU for 292hp car = +30 hp"
77,3,16,16,12,18,"Catback exhaust for 292hp car = +12 hp"
78,5,16,16,7,12,"Cold air intake for 292hp car = +7 hp"
79,7,16,16,12,18,"Intercooler upgrade for 292hp car = +12 hp"
80,12,16,16,0,0,"LSD differential for 292hp car = +0 hp"
81,1,17,17,30,50,"Stage 1 ECU for 292hp car = +30 hp"
